n70,g26,g57
n65,g74,g0
n6,g4,g67
n35,g57,g4
n4,g46,g21
n32,g10,g0
n26,g77,g18
n21,g55,g9
n60,g78,g52
n20,g65,g39
n51,g71,g76
n69,g3,g89
n71,g71,g53
n28,g82,g87
n14,g27,g35
n45,g96,g84
n39,g83,g56
n5,g60,g45
n23,g22,g38
n24,g89,g91
n54,g92,g2
n16,g64,g58
n17,g98,g77
n18,g91,g59
n63,g23,g13
n9,g66,g12
n25,g40,g82
n30,g8,g14
n31,g38,g48
n10,g60,g81
n43,g23,g11
n68,g27,g79
n34,g4,g80
n8,g37,g14
n53,g94,g28
n55,g45,g56
n38,g97,g38
n33,g41,g96
n62,g7,g76
n11,g88,g51
n27,g24,g66
n50,g88,g10
n44,g34,g19
n12,g40,g64
n67,g19,g98
n0,g20,g99
n22,g4,g2
n58,g32,g68
n36,g4,g95
n42,g88,g64
n61,g3,g8
n3,g71,g10
n29,g55,g13
n47,g76,g77
n49,g72,g96
n52,g42,g0
n59,g82,g41
n57,g21,g87
n66,g28,g88
n37,g66,g48
n13,g34,g96
n40,g57,g7
n19,g20,g6
n46,g86,g61
n7,g91,g7
n15,g45,g79
n48,g99,g41
n41,g9,g44
n64,g28,g41
n56,g47,g24
n2,g5,g78
n1,g69,g89
