n0,g86,g99
n1,g95,g86
n2,g90,g40
n3,g68,g93
n4,g28,g76
n5,g11,g57
n6,g97,g58
n7,g56,g22
n8,g72,g1
n9,g81,g20
n10,g60,g65
n11,g5,g93
n12,g66,g83
n13,g39,g63
n14,g82,g94
n15,g21,g62
n16,g93,g59
n17,g18,g5
n18,g64,g3
n19,g68,g64
n20,g42,g91
n21,g96,g46
n22,g10,g11
n23,g51,g39
n24,g85,g31
n25,g42,g96
n26,g21,g12
n27,g10,g44
n28,g94,g48
n29,g31,g57
n30,g62,g76
n31,g94,g53
n32,g41,g8
n33,g44,g66
n34,g1,g82
n35,g42,g95
n36,g62,g29
n37,g83,g77
n38,g96,g20
n39,g92,g43
n40,g11,g1
n41,g20,g50
n42,g39,g84
n43,g90,g17
n44,g31,g63
n45,g93,g80
n46,g55,g24
n47,g39,g27
n48,g52,g60
n49,g76,g72
n50,g1,g59
n51,g15,g51
n52,g4,g73
n53,g37,g54
n54,g75,g72
n55,g93,g21
n56,g74,g38
n57,g53,g74
n58,g9,g35
n59,g53,g86
n60,g48,g30
n61,g97,g49
n62,g83,g16
n63,g43,g66
n64,g34,g59
n65,g95,g60
n66,g94,g52
