n70,g11,g70
n65,g13,g48
n6,g80,g34
n35,g39,g79
n4,g33,g16
n32,g3,g84
n72,g40,g44
n74,g50,g31
n26,g97,g77
n21,g50,g87
n60,g99,g53
n20,g57,g69
n73,g82,g18
n51,g44,g65
n69,g47,g85
n71,g48,g61
n28,g51,g33
n14,g68,g14
n45,g29,g22
n39,g73,g7
n5,g47,g12
n23,g5,g15
n24,g12,g37
n54,g6,g52
n16,g64,g13
n17,g27,g64
n18,g21,g1
n63,g80,g1
n9,g51,g23
n25,g85,g15
n30,g3,g4
n31,g60,g13
n10,g5,g45
n43,g51,g41
n68,g91,g64
n34,g73,g61
n8,g65,g16
n53,g83,g47
n55,g38,g99
n38,g81,g52
n33,g55,g64
n62,g9,g90
n11,g1,g48
n27,g93,g66
n50,g58,g17
n44,g5,g55
n12,g18,g9
n67,g75,g43
n75,g10,g64
n0,g48,g75
n22,g43,g1
n58,g36,g17
n36,g42,g44
n42,g2,g78
n61,g95,g91
n3,g27,g75
n29,g88,g54
n47,g86,g61
n49,g63,g44
n52,g25,g76
n59,g85,g1
n57,g89,g25
n66,g55,g3
n37,g78,g76
n13,g94,g63
n40,g29,g69
n19,g59,g37
n46,g85,g25
n7,g2,g9
n15,g83,g22
n48,g91,g8
n41,g53,g82
n76,g30,g57
n64,g97,g89
n56,g29,g31
n2,g50,g18
n1,g94,g8
