n70,g57,g10
n65,g0,g50
n6,g34,g4
n35,g66,g14
n4,g71,g65
n32,g39,g12
n26,g63,g42
n21,g44,g36
n60,g98,g11
n20,g77,g59
n51,g99,g70
n69,g45,g6
n28,g50,g35
n14,g82,g34
n45,g48,g24
n39,g41,g63
n5,g76,g27
n23,g85,g19
n24,g58,g41
n54,g43,g29
n16,g20,g60
n17,g34,g29
n18,g3,g52
n63,g37,g63
n9,g60,g74
n25,g29,g80
n30,g7,g15
n31,g86,g84
n10,g48,g14
n43,g69,g89
n68,g79,g2
n34,g32,g28
n8,g98,g92
n53,g86,g78
n55,g83,g1
n38,g93,g94
n33,g52,g41
n62,g93,g40
n11,g39,g0
n27,g3,g99
n50,g8,g57
n44,g46,g2
n12,g32,g63
n67,g47,g80
n0,g69,g75
n22,g91,g31
n58,g13,g52
n36,g47,g68
n42,g42,g89
n61,g10,g89
n3,g72,g49
n29,g27,g6
n47,g46,g43
n49,g84,g50
n52,g37,g66
n59,g56,g12
n57,g72,g57
n66,g26,g93
n37,g14,g98
n13,g88,g58
n40,g14,g29
n19,g5,g6
n46,g83,g26
n7,g9,g71
n15,g21,g53
n48,g34,g41
n41,g21,g46
n64,g99,g55
n56,g47,g46
n2,g32,g71
n1,g88,g90
