n0,g83,g92
n1,g92,g12
n2,g80,g53
n3,g15,g69
n4,g33,g58
n5,g98,g90
n6,g89,g46
n7,g45,g94
n8,g64,g93
n9,g7,g72
n10,g37,g32
n11,g22,g91
n12,g45,g14
n13,g48,g78
n14,g75,g96
n15,g34,g75
n16,g42,g24
n17,g91,g9
n18,g51,g96
n19,g67,g14
n20,g27,g72
n21,g59,g44
n22,g23,g32
n23,g94,g90
n24,g99,g61
n25,g89,g85
n26,g19,g33
n27,g30,g42
n28,g36,g13
n29,g56,g73
n30,g12,g81
n31,g76,g43
n32,g3,g11
n33,g24,g21
n34,g45,g16
n35,g3,g26
n36,g17,g24
n37,g28,g2
n38,g30,g0
n39,g15,g39
n40,g58,g82
n41,g50,g38
n42,g24,g75
n43,g56,g69
n44,g48,g55
n45,g84,g38
n46,g89,g44
n47,g39,g7
n48,g76,g7
n49,g71,g70
n50,g30,g56
n51,g32,g22
n52,g95,g34
n53,g11,g38
n54,g85,g56
n55,g70,g79
n56,g43,g38
n57,g39,g60
n58,g49,g67
n59,g18,g94
n60,g88,g83
n61,g0,g15
n62,g33,g77
n63,g74,g69
n64,g50,g26
n65,g72,g50
n66,g82,g18
