n70,g30,g70
n65,g96,g21
n6,g48,g27
n35,g91,g25
n4,g86,g39
n32,g66,g42
n72,g0,g1
n74,g2,g72
n26,g35,g97
n21,g55,g87
n60,g87,g13
n20,g38,g89
n73,g33,g60
n51,g17,g89
n69,g82,g35
n71,g76,g57
n28,g38,g46
n14,g66,g52
n45,g22,g99
n39,g93,g39
n5,g9,g31
n23,g89,g19
n24,g48,g65
n54,g80,g36
n16,g39,g29
n17,g2,g17
n18,g36,g17
n63,g16,g44
n9,g16,g99
n25,g13,g73
n30,g16,g30
n31,g19,g7
n10,g17,g18
n43,g85,g54
n68,g80,g6
n34,g34,g41
n8,g36,g88
n53,g26,g41
n55,g58,g20
n38,g28,g96
n33,g18,g44
n62,g81,g1
n11,g90,g45
n27,g71,g77
n50,g24,g64
n44,g10,g6
n12,g38,g12
n67,g31,g62
n75,g43,g19
n0,g65,g42
n22,g93,g96
n58,g32,g19
n36,g2,g91
n42,g4,g60
n61,g21,g86
n3,g81,g90
n29,g79,g90
n47,g29,g12
n49,g17,g98
n52,g16,g87
n59,g34,g57
n57,g43,g72
n66,g70,g88
n37,g10,g66
n13,g94,g66
n40,g43,g78
n19,g71,g19
n46,g62,g89
n7,g48,g16
n15,g80,g4
n48,g28,g18
n41,g2,g38
n76,g7,g68
n64,g28,g99
n56,g65,g27
n2,g94,g49
n1,g42,g12
