n70,g28,g99
n6,g98,g82
n4,g47,g15
n22,g44,g9
n21,g97,g11
n60,g26,g17
n79,g4,g85
n74,g34,g56
n69,g99,g89
n28,g61,g60
n14,g34,g23
n45,g70,g0
n5,g16,g87
n23,g90,g27
n24,g18,g27
n17,g4,g75
n54,g22,g37
n77,g90,g68
n63,g30,g37
n9,g91,g41
n25,g15,g16
n10,g97,g70
n68,g74,g26
n34,g41,g35
n72,g59,g62
n73,g27,g13
n55,g32,g64
n44,g1,g0
n16,g46,g25
n80,g95,g68
n81,g55,g60
n75,g68,g35
n66,g63,g8
n47,g16,g20
n52,g77,g76
n59,g38,g15
n57,g90,g21
n71,g13,g73
n37,g73,g43
n31,g69,g45
n19,g15,g30
n46,g9,g19
n65,g60,g5
n85,g98,g95
n1,g4,g12
n84,g93,g23
n32,g11,g92
n26,g72,g77
n20,g74,g39
n53,g10,g50
n56,g37,g63
n76,g56,g93
n38,g59,g53
n13,g11,g17
n67,g32,g84
n41,g63,g20
n18,g88,g23
n11,g49,g43
n30,g44,g19
n35,g87,g12
n8,g95,g86
n83,g47,g39
n39,g66,g46
n33,g36,g4
n27,g47,g71
n50,g40,g43
n12,g62,g47
n82,g70,g12
n0,g4,g33
n43,g99,g85
n58,g12,g95
n36,g58,g6
n42,g20,g28
n61,g75,g81
n78,g22,g5
n3,g91,g10
n29,g16,g86
n49,g85,g15
n86,g5,g39
n62,g83,g56
n40,g45,g24
n51,g85,g0
n7,g77,g50
n15,g37,g10
n48,g85,g84
n64,g87,g83
n2,g19,g10
