n0,g28,g67
n1,g34,g45
n2,g68,g21
n3,g34,g95
n4,g29,g13
n5,g4,g17
n6,g41,g59
n7,g9,g89
n8,g48,g37
n9,g85,g58
n10,g64,g79
n11,g21,g64
n12,g30,g0
n13,g83,g62
n14,g86,g12
n15,g59,g39
n16,g68,g4
n17,g26,g7
n18,g94,g19
n19,g12,g77
n20,g6,g45
n21,g65,g15
n22,g36,g76
n23,g47,g68
n24,g35,g0
n25,g96,g29
n26,g36,g13
n27,g93,g58
n28,g72,g3
n29,g5,g93
n30,g80,g38
n31,g43,g19
n32,g29,g25
n33,g91,g16
n34,g16,g74
n35,g2,g1
n36,g21,g69
n37,g17,g37
n38,g51,g27
n39,g4,g21
n40,g2,g15
n41,g25,g55
n42,g30,g51
n43,g0,g69
n44,g6,g25
n45,g94,g52
n46,g53,g27
n47,g47,g69
n48,g61,g97
n49,g80,g76
n50,g77,g22
n51,g33,g46
n52,g3,g83
n53,g72,g15
n54,g84,g8
n55,g42,g39
n56,g96,g7
n57,g90,g58
n58,g33,g0
