n70,g60,g71
n65,g91,g44
n6,g67,g25
n35,g34,g62
n4,g14,g47
n32,g47,g42
n72,g3,g33
n74,g3,g91
n26,g83,g67
n21,g44,g38
n60,g79,g87
n20,g20,g91
n73,g64,g54
n51,g57,g90
n69,g92,g61
n71,g99,g59
n28,g18,g51
n77,g74,g69
n14,g95,g82
n45,g88,g49
n39,g96,g57
n5,g47,g46
n23,g35,g26
n24,g55,g98
n54,g44,g48
n16,g79,g42
n17,g86,g87
n18,g79,g45
n63,g73,g14
n9,g28,g60
n25,g85,g29
n30,g58,g2
n31,g82,g34
n10,g74,g15
n43,g52,g6
n68,g18,g26
n34,g1,g85
n8,g39,g80
n79,g50,g53
n53,g93,g96
n55,g86,g84
n38,g94,g28
n33,g27,g64
n62,g12,g78
n11,g85,g87
n27,g95,g10
n50,g77,g67
n44,g88,g99
n12,g22,g70
n67,g84,g72
n75,g6,g53
n80,g42,g50
n0,g76,g62
n22,g26,g1
n58,g43,g99
n36,g27,g94
n42,g71,g51
n61,g22,g66
n78,g17,g27
n3,g98,g10
n29,g0,g38
n47,g93,g80
n49,g17,g8
n52,g84,g64
n59,g26,g63
n57,g55,g8
n66,g19,g61
n37,g74,g12
n13,g63,g18
n40,g95,g47
n19,g18,g95
n46,g16,g36
n7,g58,g84
n15,g17,g76
n48,g92,g23
n41,g53,g45
n76,g46,g37
n64,g21,g36
n56,g12,g59
n2,g92,g37
n1,g8,g97
