n70,g22,g82
n65,g23,g96
n6,g99,g68
n35,g57,g80
n4,g28,g51
n32,g93,g24
n72,g86,g62
n74,g58,g97
n26,g85,g60
n21,g84,g65
n60,g85,g6
n20,g47,g72
n73,g78,g59
n51,g28,g48
n69,g30,g12
n71,g48,g60
n28,g32,g85
n77,g50,g87
n14,g46,g91
n45,g92,g29
n39,g27,g94
n5,g7,g62
n23,g18,g91
n24,g6,g38
n54,g98,g4
n16,g43,g28
n17,g4,g73
n18,g45,g3
n63,g84,g91
n9,g14,g19
n25,g8,g30
n30,g35,g42
n31,g64,g12
n10,g34,g36
n43,g34,g31
n68,g88,g35
n34,g83,g21
n8,g80,g85
n53,g76,g87
n55,g57,g4
n38,g37,g31
n33,g47,g8
n62,g40,g15
n11,g32,g69
n27,g89,g29
n50,g52,g20
n44,g72,g74
n12,g6,g35
n67,g65,g41
n75,g0,g37
n0,g87,g57
n22,g32,g58
n58,g54,g71
n36,g8,g34
n42,g83,g22
n61,g60,g9
n78,g16,g7
n3,g37,g52
n29,g12,g7
n47,g17,g95
n49,g58,g24
n52,g56,g84
n59,g89,g62
n57,g27,g81
n66,g8,g40
n37,g58,g37
n13,g14,g92
n40,g96,g72
n19,g39,g95
n46,g33,g76
n7,g77,g13
n15,g20,g2
n48,g25,g1
n41,g87,g49
n76,g37,g61
n64,g45,g93
n56,g9,g76
n2,g51,g98
n1,g44,g98
