n0,g56,g5
n1,g22,g86
n2,g28,g98
n3,g79,g58
n4,g2,g63
n5,g77,g68
n6,g12,g41
n7,g82,g43
n8,g39,g74
n9,g19,g40
n10,g44,g32
n11,g54,g15
n12,g65,g40
n13,g90,g56
n14,g40,g21
n15,g62,g10
n16,g7,g11
n17,g44,g63
n18,g48,g86
n19,g78,g74
n20,g30,g52
n21,g96,g58
n22,g59,g66
n23,g58,g10
n24,g46,g30
n25,g86,g21
n26,g69,g40
n27,g85,g70
n28,g66,g30
n29,g20,g73
n30,g51,g26
n31,g16,g77
n32,g94,g7
n33,g91,g88
n34,g13,g96
n35,g67,g62
n36,g87,g47
n37,g84,g14
n38,g36,g61
n39,g37,g67
n40,g72,g87
n41,g47,g12
n42,g60,g94
n43,g90,g62
n44,g82,g45
n45,g85,g79
n46,g90,g72
n47,g28,g2
n48,g5,g0
n49,g27,g85
n50,g26,g79
n51,g2,g10
n52,g65,g87
n53,g59,g56
n54,g43,g16
n55,g73,g92
n56,g51,g79
n57,g31,g95
n58,g34,g7
n59,g97,g46
n60,g26,g83
n61,g43,g19
n62,g31,g26
n63,g13,g60
n64,g17,g22
