n70,g62,g52
n65,g69,g79
n6,g92,g27
n35,g18,g92
n4,g33,g12
n32,g89,g80
n72,g34,g11
n74,g95,g68
n26,g69,g15
n21,g96,g66
n60,g80,g48
n20,g84,g16
n73,g32,g7
n51,g83,g91
n69,g50,g10
n71,g63,g86
n28,g26,g90
n14,g8,g38
n45,g64,g96
n39,g88,g33
n5,g56,g67
n23,g16,g12
n24,g32,g59
n54,g23,g59
n16,g23,g14
n17,g42,g51
n18,g32,g95
n63,g8,g72
n9,g82,g86
n25,g7,g55
n30,g79,g50
n31,g3,g2
n10,g13,g12
n43,g96,g60
n68,g0,g39
n34,g69,g90
n8,g55,g6
n53,g13,g62
n55,g45,g36
n38,g54,g92
n33,g25,g64
n62,g47,g78
n11,g1,g38
n27,g34,g12
n50,g35,g17
n44,g8,g50
n12,g61,g92
n67,g58,g9
n75,g86,g75
n0,g27,g77
n22,g63,g15
n58,g25,g71
n36,g69,g75
n42,g78,g23
n61,g8,g79
n3,g81,g31
n29,g57,g56
n47,g58,g86
n49,g69,g82
n52,g21,g11
n59,g10,g6
n57,g43,g12
n66,g16,g10
n37,g20,g3
n13,g65,g28
n40,g70,g93
n19,g15,g39
n46,g44,g66
n7,g31,g76
n15,g78,g7
n48,g39,g45
n41,g96,g48
n76,g44,g64
n64,g42,g34
n56,g95,g19
n2,g57,g45
n1,g13,g50
