n70,g83,g44
n65,g38,g89
n6,g92,g73
n35,g11,g26
n4,g27,g85
n32,g50,g87
n72,g92,g62
n74,g55,g81
n26,g25,g55
n21,g12,g43
n60,g84,g77
n20,g3,g55
n73,g53,g74
n51,g60,g12
n69,g54,g39
n71,g38,g68
n28,g54,g52
n77,g80,g99
n14,g64,g19
n45,g1,g75
n39,g69,g1
n5,g23,g28
n23,g63,g8
n24,g31,g50
n54,g52,g56
n16,g61,g9
n17,g9,g40
n18,g51,g2
n63,g70,g61
n9,g8,g19
n25,g15,g48
n30,g11,g61
n31,g50,g67
n10,g70,g65
n43,g95,g70
n68,g90,g15
n34,g40,g76
n8,g11,g39
n53,g43,g92
n55,g74,g62
n38,g72,g37
n33,g20,g9
n62,g30,g17
n11,g32,g18
n27,g84,g28
n50,g50,g27
n44,g75,g36
n12,g94,g73
n67,g95,g64
n75,g84,g3
n0,g96,g97
n22,g29,g0
n58,g67,g36
n36,g38,g11
n42,g76,g28
n61,g65,g36
n3,g20,g51
n29,g38,g18
n47,g31,g97
n49,g40,g35
n52,g4,g19
n59,g15,g66
n57,g41,g9
n66,g5,g21
n37,g65,g25
n13,g33,g41
n40,g92,g95
n19,g74,g43
n46,g72,g77
n7,g11,g25
n15,g40,g15
n48,g67,g6
n41,g85,g32
n76,g14,g13
n64,g78,g4
n56,g22,g27
n2,g85,g30
n1,g30,g73
