n0,g5,g45
n1,g50,g85
n2,g77,g31
n3,g39,g54
n4,g29,g87
n5,g87,g0
n6,g66,g84
n7,g44,g8
n8,g32,g4
n9,g16,g39
n10,g91,g61
n11,g4,g66
n12,g29,g24
n13,g27,g40
n14,g50,g34
n15,g76,g27
n16,g9,g27
n17,g36,g18
n18,g8,g95
n19,g51,g30
n20,g59,g55
n21,g99,g80
n22,g9,g93
n23,g24,g70
n24,g98,g69
n25,g93,g38
n26,g19,g79
n27,g3,g57
n28,g18,g69
n29,g40,g74
n30,g88,g65
n31,g92,g88
n32,g98,g68
n33,g58,g40
n34,g75,g27
n35,g39,g14
n36,g89,g59
n37,g95,g28
n38,g56,g17
n39,g44,g28
n40,g56,g28
n41,g51,g18
n42,g48,g56
n43,g44,g13
n44,g43,g71
n45,g20,g85
n46,g45,g27
n47,g98,g32
n48,g6,g7
n49,g72,g0
n50,g44,g89
n51,g98,g85
n52,g3,g19
n53,g85,g33
n54,g43,g91
n55,g8,g69
n56,g29,g40
n57,g16,g31
n58,g22,g46
n59,g57,g16
n60,g81,g35
n61,g73,g24
n62,g35,g56
