n70,g46,g91
n65,g11,g41
n6,g98,g17
n35,g51,g43
n4,g96,g2
n32,g81,g70
n72,g29,g76
n74,g4,g64
n26,g63,g0
n21,g27,g30
n60,g60,g33
n20,g84,g5
n73,g25,g87
n51,g4,g42
n69,g62,g61
n71,g21,g47
n28,g41,g76
n77,g54,g98
n14,g95,g70
n45,g4,g44
n39,g96,g42
n5,g44,g58
n23,g27,g84
n24,g3,g38
n54,g6,g44
n16,g0,g21
n17,g99,g36
n18,g64,g69
n63,g64,g50
n9,g96,g90
n25,g56,g37
n30,g40,g49
n31,g20,g99
n10,g67,g16
n43,g30,g44
n68,g24,g28
n34,g84,g76
n8,g90,g85
n53,g42,g30
n55,g17,g5
n38,g99,g68
n33,g55,g1
n62,g40,g95
n11,g93,g43
n27,g65,g77
n50,g87,g16
n44,g2,g53
n12,g31,g67
n67,g97,g35
n75,g51,g72
n0,g80,g60
n22,g54,g45
n58,g8,g62
n36,g63,g97
n42,g15,g72
n61,g49,g25
n3,g21,g58
n29,g78,g26
n47,g20,g50
n49,g68,g39
n52,g88,g75
n59,g20,g97
n57,g86,g60
n66,g68,g90
n37,g85,g57
n13,g98,g53
n40,g60,g73
n19,g11,g25
n46,g3,g41
n7,g49,g23
n15,g86,g15
n48,g5,g93
n41,g84,g29
n76,g18,g84
n64,g48,g22
n56,g79,g69
n2,g69,g90
n1,g39,g74
