n0,g59,g48
n1,g4,g6
n2,g64,g9
n3,g57,g15
n4,g64,g63
n5,g39,g80
n6,g4,g75
n7,g82,g58
n8,g75,g54
n9,g88,g40
n10,g2,g31
n11,g0,g64
n12,g37,g13
n13,g93,g47
n14,g93,g9
n15,g34,g90
n16,g3,g21
n17,g81,g3
n18,g18,g28
n19,g60,g19
n20,g47,g64
n21,g48,g0
n22,g14,g62
n23,g61,g14
n24,g9,g98
n25,g57,g66
n26,g37,g58
n27,g90,g30
n28,g31,g44
n29,g75,g0
n30,g57,g56
n31,g10,g32
n32,g32,g63
n33,g3,g93
n34,g20,g44
n35,g53,g75
n36,g73,g78
n37,g19,g58
n38,g36,g26
n39,g64,g52
n40,g35,g50
n41,g61,g83
n42,g76,g3
n43,g41,g81
n44,g41,g93
n45,g13,g27
n46,g90,g26
