n70,g79,g11
n65,g56,g69
n6,g66,g28
n35,g21,g31
n4,g58,g24
n32,g5,g64
n26,g2,g86
n21,g95,g16
n60,g33,g91
n20,g1,g59
n51,g4,g90
n69,g93,g37
n28,g85,g55
n14,g61,g75
n45,g22,g78
n39,g94,g86
n5,g71,g18
n23,g30,g61
n24,g33,g1
n54,g4,g67
n16,g88,g25
n17,g54,g92
n18,g52,g42
n63,g26,g15
n9,g73,g9
n25,g14,g92
n30,g67,g54
n31,g43,g2
n10,g73,g56
n43,g59,g86
n68,g91,g8
n34,g68,g15
n8,g10,g65
n53,g87,g91
n55,g91,g54
n38,g51,g24
n33,g71,g23
n62,g50,g59
n11,g58,g51
n27,g54,g12
n50,g54,g37
n44,g34,g29
n12,g59,g4
n67,g56,g33
n0,g92,g13
n22,g94,g69
n58,g6,g19
n36,g26,g48
n42,g16,g72
n61,g70,g24
n3,g97,g48
n29,g11,g85
n47,g41,g94
n49,g14,g19
n52,g93,g75
n59,g67,g94
n57,g20,g81
n66,g97,g91
n37,g6,g80
n13,g37,g14
n40,g32,g25
n19,g47,g35
n46,g94,g84
n7,g95,g67
n15,g86,g88
n48,g17,g78
n41,g12,g76
n64,g89,g99
n56,g55,g16
n2,g16,g88
n1,g85,g84
