n0,g90,g61
n1,g87,g71
n2,g55,g89
n3,g80,g21
n4,g23,g32
n5,g79,g19
n6,g99,g1
n7,g1,g57
n8,g13,g26
n9,g37,g86
n10,g10,g60
n11,g73,g11
n12,g92,g66
n13,g60,g33
n14,g46,g54
n15,g95,g13
n16,g46,g23
n17,g58,g0
n18,g58,g89
n19,g48,g97
n20,g83,g63
n21,g49,g23
n22,g30,g63
n23,g41,g55
n24,g1,g7
n25,g91,g37
n26,g40,g46
n27,g13,g20
n28,g8,g53
n29,g63,g87
n30,g7,g83
n31,g62,g57
n32,g86,g84
n33,g62,g91
n34,g98,g1
n35,g58,g45
n36,g49,g11
n37,g25,g60
n38,g60,g81
n39,g38,g35
n40,g21,g89
n41,g13,g53
n42,g20,g9
n43,g12,g16
n44,g54,g0
n45,g4,g44
n46,g27,g74
n47,g54,g6
n48,g7,g54
n49,g43,g90
