n0,g34,g81
n1,g11,g53
n2,g26,g87
n3,g81,g80
n4,g53,g22
n5,g36,g68
n6,g61,g67
n7,g32,g90
n8,g95,g33
n9,g21,g28
n10,g0,g3
n11,g78,g87
n12,g95,g44
n13,g5,g78
n14,g76,g55
n15,g87,g69
n16,g72,g36
n17,g88,g52
n18,g96,g34
n19,g9,g76
n20,g95,g21
n21,g1,g32
n22,g73,g35
n23,g25,g4
n24,g10,g78
n25,g80,g17
n26,g80,g20
n27,g84,g82
n28,g41,g35
n29,g52,g5
n30,g52,g91
n31,g30,g55
n32,g62,g32
n33,g88,g76
n34,g35,g75
n35,g15,g32
n36,g58,g0
n37,g73,g85
n38,g94,g13
n39,g51,g42
n40,g83,g93
n41,g37,g11
n42,g64,g10
n43,g12,g45
