n70,g90,g86
n65,g85,g50
n6,g41,g40
n35,g25,g64
n4,g60,g49
n32,g7,g36
n72,g87,g37
n74,g2,g52
n26,g10,g95
n21,g31,g35
n60,g68,g94
n20,g36,g45
n73,g36,g29
n51,g30,g58
n69,g47,g89
n71,g92,g15
n28,g0,g70
n77,g33,g26
n14,g45,g96
n45,g30,g96
n39,g19,g17
n5,g58,g28
n23,g66,g34
n24,g59,g44
n54,g14,g1
n16,g82,g47
n17,g50,g53
n18,g8,g20
n63,g72,g49
n9,g39,g42
n25,g75,g85
n30,g31,g18
n31,g16,g17
n10,g28,g36
n43,g51,g77
n68,g4,g92
n34,g50,g70
n8,g32,g21
n53,g97,g38
n55,g43,g48
n38,g10,g12
n33,g35,g1
n62,g53,g19
n11,g93,g43
n27,g48,g2
n50,g29,g9
n44,g85,g23
n12,g34,g42
n67,g65,g74
n75,g69,g9
n0,g36,g98
n22,g83,g44
n58,g97,g90
n36,g56,g30
n42,g4,g68
n61,g27,g15
n3,g43,g81
n29,g74,g7
n47,g16,g14
n49,g6,g49
n52,g34,g88
n59,g70,g77
n57,g61,g9
n66,g4,g5
n37,g33,g48
n13,g0,g23
n40,g4,g81
n19,g89,g16
n46,g26,g21
n7,g57,g22
n15,g0,g41
n48,g91,g88
n41,g10,g25
n76,g18,g96
n64,g7,g14
n56,g9,g84
n2,g88,g98
n1,g52,g50
