n0,g91,g23
n1,g24,g34
n2,g4,g44
n3,g70,g43
n4,g3,g10
n5,g76,g53
n6,g51,g28
n7,g1,g29
n8,g11,g20
n9,g17,g26
n10,g60,g85
n11,g21,g0
n12,g24,g84
n13,g39,g51
n14,g69,g67
n15,g64,g6
n16,g83,g20
n17,g12,g45
n18,g33,g52
n19,g87,g31
n20,g40,g46
n21,g51,g65
n22,g28,g54
n23,g96,g31
n24,g81,g79
n25,g39,g7
n26,g69,g56
n27,g5,g17
n28,g3,g31
n29,g49,g92
n30,g89,g53
n31,g93,g53
n32,g20,g84
n33,g45,g65
n34,g25,g50
n35,g51,g41
n36,g24,g39
n37,g60,g0
n38,g38,g0
n39,g2,g18
n40,g59,g77
n41,g82,g39
n42,g96,g20
n43,g71,g75
n44,g0,g35
n45,g51,g33
n46,g85,g78
n47,g55,g72
n48,g6,g50
n49,g82,g52
n50,g11,g5
n51,g59,g29
