n0,g66,g32
n1,g34,g54
n2,g52,g78
n3,g86,g75
n4,g18,g87
n5,g93,g38
n6,g11,g77
n7,g90,g17
n8,g30,g33
n9,g1,g13
n10,g67,g64
n11,g47,g66
n12,g30,g99
n13,g73,g19
n14,g1,g29
n15,g2,g21
n16,g97,g48
n17,g31,g49
n18,g3,g60
n19,g23,g57
n20,g13,g21
n21,g91,g72
n22,g14,g72
n23,g79,g99
n24,g26,g51
n25,g4,g22
n26,g21,g66
n27,g94,g43
n28,g89,g2
n29,g67,g63
n30,g35,g41
n31,g84,g50
n32,g82,g91
n33,g26,g89
n34,g35,g88
n35,g36,g50
n36,g25,g21
n37,g13,g94
n38,g40,g21
n39,g8,g13
n40,g3,g94
n41,g98,g85
n42,g35,g82
n43,g1,g83
n44,g86,g65
n45,g23,g77
n46,g63,g30
n47,g63,g2
n48,g27,g92
n49,g64,g57
n50,g81,g42
n51,g90,g2
n52,g89,g39
