n0,g87,g86
n1,g73,g70
n2,g70,g65
n3,g39,g15
n4,g57,g67
n5,g33,g13
n6,g22,g37
n7,g46,g70
n8,g95,g57
n9,g41,g83
n10,g69,g27
n11,g43,g63
n12,g81,g43
n13,g48,g17
n14,g1,g85
n15,g37,g2
n16,g35,g11
n17,g71,g9
n18,g84,g97
n19,g69,g61
n20,g34,g45
n21,g71,g61
n22,g38,g67
n23,g76,g42
n24,g56,g69
n25,g44,g22
n26,g11,g56
n27,g75,g55
n28,g74,g10
n29,g69,g55
n30,g68,g62
n31,g67,g56
n32,g33,g4
n33,g61,g90
n34,g66,g90
n35,g56,g1
n36,g57,g19
n37,g36,g47
n38,g52,g3
n39,g30,g47
n40,g83,g21
n41,g22,g27
n42,g48,g82
n43,g81,g48
n44,g91,g37
n45,g38,g44
n46,g67,g34
n47,g61,g31
n48,g16,g94
n49,g38,g2
n50,g52,g31
n51,g23,g96
n52,g90,g6
n53,g69,g67
n54,g83,g10
n55,g5,g75
n56,g24,g75
n57,g37,g84
n58,g70,g74
n59,g92,g27
n60,g62,g19
n61,g85,g52
n62,g7,g51
n63,g73,g1
n64,g12,g42
n65,g13,g92
