n70,g22,g66
n65,g31,g76
n6,g12,g74
n35,g0,g71
n4,g26,g86
n32,g77,g29
n72,g78,g7
n74,g62,g36
n26,g40,g48
n21,g93,g24
n60,g39,g35
n20,g84,g1
n73,g75,g3
n51,g20,g40
n69,g34,g90
n71,g69,g86
n28,g49,g56
n77,g4,g82
n14,g91,g32
n45,g52,g95
n39,g11,g27
n5,g27,g60
n23,g85,g95
n24,g53,g35
n54,g14,g0
n16,g23,g46
n17,g11,g24
n18,g59,g20
n63,g69,g71
n9,g69,g79
n25,g94,g19
n30,g62,g4
n31,g44,g36
n10,g4,g15
n43,g80,g94
n68,g75,g94
n34,g45,g72
n8,g86,g72
n53,g5,g57
n55,g66,g19
n38,g74,g59
n33,g50,g48
n62,g70,g9
n11,g75,g50
n27,g20,g83
n50,g6,g21
n44,g76,g84
n12,g59,g45
n67,g94,g25
n75,g31,g17
n0,g37,g82
n22,g37,g57
n58,g54,g90
n36,g96,g50
n42,g84,g65
n61,g83,g10
n78,g40,g3
n3,g7,g48
n29,g71,g94
n47,g28,g50
n49,g55,g9
n52,g2,g17
n59,g18,g73
n57,g20,g26
n66,g10,g21
n37,g24,g30
n13,g57,g6
n40,g32,g44
n19,g6,g69
n46,g19,g33
n7,g41,g31
n15,g6,g34
n48,g85,g7
n41,g61,g31
n76,g51,g93
n64,g25,g8
n56,g82,g31
n2,g73,g59
n1,g66,g8
