n0,g51,g94
n1,g98,g90
n2,g81,g14
n3,g17,g33
n4,g64,g66
n5,g96,g98
n6,g33,g35
n7,g91,g60
n8,g50,g43
n9,g48,g72
n10,g77,g23
n11,g68,g52
n12,g52,g93
n13,g11,g66
n14,g94,g54
n15,g93,g85
n16,g60,g26
n17,g26,g81
n18,g35,g54
n19,g89,g95
n20,g39,g87
n21,g50,g32
n22,g12,g17
n23,g81,g67
n24,g8,g71
n25,g83,g37
n26,g48,g32
n27,g59,g71
n28,g75,g93
n29,g26,g45
n30,g91,g5
n31,g73,g50
n32,g58,g70
n33,g60,g41
n34,g16,g90
n35,g65,g9
n36,g99,g56
n37,g62,g63
n38,g67,g68
n39,g99,g10
n40,g81,g40
n41,g10,g50
n42,g4,g52
n43,g96,g63
n44,g64,g72
n45,g65,g14
n46,g85,g48
n47,g14,g45
n48,g59,g93
n49,g39,g96
n50,g46,g53
n51,g74,g77
n52,g25,g7
n53,g88,g74
n54,g72,g46
n55,g94,g3
n56,g15,g50
n57,g9,g67
n58,g4,g8
