n70,g2,g66
n65,g91,g28
n6,g4,g68
n35,g90,g89
n4,g22,g17
n32,g84,g56
n72,g56,g85
n74,g96,g6
n26,g31,g79
n21,g52,g84
n60,g31,g16
n20,g52,g39
n73,g76,g35
n51,g17,g43
n69,g25,g27
n71,g34,g28
n28,g45,g16
n77,g7,g16
n14,g22,g45
n45,g93,g63
n39,g51,g7
n5,g56,g29
n23,g96,g14
n24,g66,g58
n54,g74,g54
n16,g58,g49
n17,g68,g30
n18,g45,g47
n63,g59,g13
n9,g28,g38
n25,g14,g15
n30,g6,g95
n31,g70,g30
n10,g49,g79
n43,g52,g63
n68,g80,g54
n34,g49,g44
n8,g74,g28
n53,g1,g20
n55,g87,g32
n38,g60,g98
n33,g97,g73
n62,g38,g21
n11,g15,g89
n27,g18,g72
n50,g71,g60
n44,g58,g46
n12,g16,g42
n67,g83,g42
n75,g7,g95
n0,g36,g19
n22,g75,g61
n58,g78,g0
n36,g11,g71
n42,g53,g73
n61,g53,g56
n3,g54,g24
n29,g53,g41
n47,g94,g40
n49,g35,g89
n52,g78,g99
n59,g12,g69
n57,g14,g17
n66,g1,g64
n37,g91,g9
n13,g46,g73
n40,g77,g81
n19,g0,g46
n46,g30,g42
n7,g45,g28
n15,g44,g2
n48,g4,g12
n41,g89,g11
n76,g88,g35
n64,g29,g88
n56,g86,g95
n2,g21,g98
n1,g68,g52
