n70,g49,g29
n65,g45,g98
n6,g52,g70
n35,g27,g78
n4,g33,g53
n32,g27,g96
n26,g18,g74
n21,g52,g65
n60,g81,g89
n20,g18,g89
n51,g65,g69
n69,g54,g2
n28,g48,g41
n14,g70,g38
n45,g9,g27
n39,g63,g75
n5,g41,g47
n23,g73,g90
n24,g6,g14
n54,g66,g8
n16,g7,g83
n17,g35,g79
n18,g63,g36
n63,g69,g88
n9,g88,g43
n25,g17,g44
n30,g85,g50
n31,g4,g32
n10,g95,g64
n43,g8,g97
n68,g41,g51
n34,g48,g99
n8,g90,g94
n53,g0,g35
n55,g81,g28
n38,g60,g42
n33,g39,g67
n62,g87,g44
n11,g4,g89
n27,g2,g44
n50,g89,g84
n44,g47,g17
n12,g42,g53
n67,g51,g50
n0,g45,g16
n22,g86,g5
n58,g37,g49
n36,g82,g39
n42,g77,g74
n61,g35,g31
n3,g60,g83
n29,g19,g46
n47,g36,g2
n49,g32,g9
n52,g7,g95
n59,g26,g65
n57,g10,g37
n66,g62,g60
n37,g99,g46
n13,g85,g98
n40,g21,g46
n19,g97,g86
n46,g95,g53
n7,g23,g63
n15,g82,g97
n48,g98,g6
n41,g77,g6
n64,g44,g51
n56,g7,g82
n2,g50,g78
n1,g14,g74
