n0,g32,g77
n1,g96,g31
n2,g84,g93
n3,g35,g73
n4,g53,g19
n5,g39,g35
n6,g5,g95
n7,g37,g64
n8,g16,g33
n9,g79,g53
n10,g52,g65
n11,g15,g93
n12,g8,g21
n13,g17,g15
n14,g92,g62
n15,g83,g87
n16,g65,g69
n17,g99,g47
n18,g19,g1
n19,g40,g21
n20,g13,g35
n21,g82,g61
n22,g44,g53
n23,g86,g22
n24,g6,g9
n25,g30,g32
n26,g10,g48
n27,g17,g35
n28,g95,g13
n29,g12,g94
n30,g86,g31
n31,g83,g43
n32,g70,g81
n33,g64,g58
n34,g1,g56
n35,g74,g53
n36,g15,g8
n37,g27,g78
n38,g47,g53
n39,g27,g79
n40,g18,g90
n41,g63,g21
n42,g78,g60
n43,g78,g81
n44,g95,g89
n45,g27,g63
n46,g0,g66
n47,g38,g8
n48,g9,g17
n49,g72,g92
n50,g22,g91
n51,g98,g61
n52,g45,g0
n53,g89,g29
n54,g28,g33
n55,g30,g4
n56,g20,g60
n57,g90,g1
n58,g92,g61
n59,g49,g87
