n0,g3,g29
n1,g41,g4
n2,g36,g75
n3,g44,g35
n4,g95,g90
n5,g85,g73
n6,g49,g53
n7,g21,g2
n8,g26,g34
n9,g40,g64
n10,g45,g50
n11,g21,g86
n12,g40,g76
n13,g95,g49
n14,g45,g59
n15,g88,g37
n16,g30,g82
n17,g21,g85
n18,g23,g84
n19,g67,g53
n20,g63,g1
n21,g53,g51
n22,g45,g83
n23,g22,g33
n24,g1,g84
n25,g52,g96
n26,g13,g6
n27,g29,g27
n28,g6,g52
n29,g19,g40
n30,g33,g16
n31,g13,g38
n32,g76,g3
n33,g68,g93
n34,g13,g1
n35,g5,g33
n36,g64,g15
n37,g90,g74
n38,g67,g11
n39,g91,g12
n40,g50,g80
n41,g58,g14
n42,g50,g4
n43,g68,g65
n44,g4,g93
n45,g49,g7
n46,g72,g44
n47,g73,g91
n48,g47,g64
