n0,g96,g6
n1,g60,g24
n2,g68,g1
n3,g35,g71
n4,g39,g42
n5,g11,g36
n6,g48,g40
n7,g74,g13
n8,g93,g84
n9,g8,g73
n10,g2,g82
n11,g79,g2
n12,g91,g46
n13,g7,g26
n14,g95,g37
n15,g0,g54
n16,g17,g22
n17,g19,g50
n18,g59,g78
n19,g4,g26
n20,g43,g1
n21,g43,g86
n22,g38,g41
n23,g17,g94
n24,g48,g61
n25,g57,g55
n26,g12,g42
n27,g81,g88
n28,g13,g94
n29,g26,g5
n30,g48,g53
n31,g82,g46
n32,g92,g68
n33,g58,g74
n34,g11,g84
n35,g87,g95
n36,g54,g84
n37,g72,g69
n38,g17,g0
n39,g57,g44
n40,g67,g63
n41,g21,g76
n42,g71,g78
n43,g24,g16
n44,g70,g78
