n70,g77,g10
n6,g58,g66
n4,g58,g56
n22,g92,g29
n21,g69,g44
n60,g40,g39
n79,g68,g73
n74,g21,g43
n69,g8,g11
n28,g72,g2
n14,g33,g46
n45,g65,g90
n5,g37,g36
n23,g0,g29
n24,g1,g68
n17,g19,g64
n54,g83,g26
n77,g81,g56
n63,g8,g68
n9,g40,g38
n25,g30,g41
n10,g1,g29
n68,g97,g70
n34,g60,g24
n72,g65,g70
n73,g89,g86
n55,g28,g83
n44,g64,g96
n16,g6,g56
n80,g5,g27
n81,g57,g76
n75,g18,g38
n66,g39,g47
n47,g7,g96
n52,g11,g22
n59,g96,g59
n57,g10,g22
n71,g38,g66
n37,g42,g93
n31,g33,g44
n19,g75,g8
n46,g94,g70
n65,g94,g51
n85,g70,g84
n1,g92,g70
n84,g38,g22
n32,g41,g80
n26,g78,g26
n20,g54,g69
n53,g66,g33
n56,g8,g5
n76,g72,g51
n38,g69,g94
n13,g37,g48
n67,g57,g1
n41,g63,g57
n18,g20,g86
n11,g15,g35
n30,g35,g13
n35,g23,g26
n8,g30,g15
n83,g79,g51
n39,g35,g9
n33,g15,g17
n27,g91,g11
n50,g65,g74
n12,g57,g97
n82,g71,g24
n0,g99,g45
n43,g43,g7
n58,g73,g47
n36,g22,g71
n42,g59,g12
n61,g87,g25
n78,g33,g43
n3,g74,g21
n29,g42,g13
n49,g94,g42
n62,g74,g69
n40,g50,g5
n51,g63,g89
n7,g27,g84
n15,g15,g31
n48,g76,g79
n64,g53,g20
n2,g94,g33
