n70,g81,g58
n6,g82,g39
n4,g98,g42
n22,g31,g98
n21,g67,g48
n60,g51,g89
n79,g92,g48
n74,g61,g48
n69,g35,g80
n28,g61,g35
n14,g80,g13
n45,g25,g17
n5,g19,g54
n23,g82,g9
n24,g84,g32
n17,g14,g75
n54,g48,g41
n77,g78,g43
n63,g56,g23
n9,g28,g60
n25,g8,g94
n10,g58,g72
n68,g51,g0
n34,g9,g60
n72,g69,g7
n73,g52,g45
n55,g97,g69
n44,g52,g92
n16,g58,g4
n80,g79,g90
n81,g50,g60
n75,g58,g30
n66,g88,g71
n47,g23,g4
n52,g96,g39
n59,g25,g74
n57,g88,g20
n71,g17,g37
n37,g52,g81
n31,g40,g65
n19,g79,g72
n46,g53,g10
n65,g96,g60
n85,g62,g23
n1,g93,g94
n84,g79,g3
n32,g31,g5
n26,g36,g91
n20,g4,g80
n53,g91,g24
n56,g31,g44
n76,g10,g73
n38,g36,g16
n13,g63,g51
n67,g79,g71
n41,g74,g12
n18,g71,g83
n11,g77,g78
n30,g46,g47
n35,g82,g68
n8,g10,g25
n83,g40,g27
n39,g97,g36
n33,g38,g82
n27,g22,g99
n50,g53,g22
n12,g36,g39
n82,g38,g32
n0,g39,g16
n43,g82,g40
n58,g1,g36
n36,g97,g26
n42,g93,g42
n61,g63,g96
n78,g38,g47
n3,g65,g12
n29,g49,g67
n49,g5,g65
n62,g27,g88
n40,g43,g8
n51,g41,g89
n7,g95,g93
n15,g31,g19
n48,g14,g84
n64,g69,g93
n2,g28,g24
