n70,g40,g73
n65,g34,g12
n6,g28,g50
n35,g64,g77
n4,g70,g9
n32,g36,g71
n72,g45,g32
n74,g26,g34
n26,g57,g38
n21,g44,g32
n60,g85,g75
n20,g64,g3
n73,g61,g71
n51,g65,g37
n69,g63,g75
n71,g70,g34
n28,g45,g24
n14,g45,g93
n45,g81,g91
n39,g47,g69
n5,g29,g11
n23,g42,g48
n24,g89,g52
n54,g1,g48
n16,g95,g48
n17,g41,g20
n18,g55,g38
n63,g79,g20
n9,g61,g87
n25,g13,g83
n30,g24,g75
n31,g37,g42
n10,g53,g29
n43,g73,g32
n68,g18,g21
n34,g30,g18
n8,g34,g91
n53,g77,g23
n55,g59,g26
n38,g57,g29
n33,g22,g79
n62,g10,g98
n11,g97,g77
n27,g92,g15
n50,g51,g64
n44,g52,g42
n12,g91,g37
n67,g35,g33
n75,g15,g95
n0,g58,g68
n22,g95,g51
n58,g17,g8
n36,g61,g57
n42,g54,g93
n61,g16,g10
n3,g37,g87
n29,g51,g3
n47,g13,g80
n49,g75,g92
n52,g81,g36
n59,g17,g25
n57,g38,g66
n66,g90,g67
n37,g76,g82
n13,g91,g17
n40,g47,g91
n19,g45,g8
n46,g96,g25
n7,g63,g35
n15,g34,g68
n48,g28,g83
n41,g90,g96
n64,g89,g92
n56,g5,g16
n2,g52,g7
n1,g33,g4
