n0,g71,g15
n1,g29,g92
n2,g12,g24
n3,g63,g82
n4,g2,g6
n5,g63,g52
n6,g60,g35
n7,g16,g56
n8,g19,g52
n9,g59,g71
n10,g20,g83
n11,g60,g46
n12,g11,g93
n13,g70,g87
n14,g19,g88
n15,g36,g21
n16,g1,g26
n17,g64,g74
n18,g42,g38
n19,g40,g34
n20,g28,g52
n21,g12,g5
n22,g55,g26
n23,g38,g75
n24,g10,g95
n25,g2,g70
n26,g64,g28
n27,g15,g31
n28,g81,g71
n29,g42,g46
n30,g98,g30
n31,g55,g30
n32,g20,g77
n33,g45,g47
n34,g44,g35
n35,g94,g60
n36,g11,g65
n37,g34,g42
n38,g3,g66
n39,g62,g19
n40,g32,g50
n41,g13,g96
n42,g79,g80
n43,g94,g1
n44,g44,g27
