n70,g71,g32
n65,g92,g5
n6,g20,g51
n35,g61,g6
n4,g89,g79
n32,g57,g85
n26,g69,g96
n21,g64,g79
n60,g10,g87
n20,g73,g16
n51,g88,g63
n69,g82,g16
n71,g47,g94
n28,g95,g61
n14,g97,g83
n45,g39,g21
n39,g47,g21
n5,g84,g77
n23,g30,g99
n24,g37,g69
n54,g87,g29
n16,g26,g8
n17,g21,g70
n18,g82,g33
n63,g75,g14
n9,g9,g38
n25,g18,g33
n30,g58,g82
n31,g36,g14
n10,g41,g60
n43,g68,g91
n68,g6,g15
n34,g67,g79
n8,g58,g93
n53,g36,g46
n55,g51,g12
n38,g13,g37
n33,g31,g23
n62,g3,g75
n11,g25,g19
n27,g48,g11
n50,g13,g49
n44,g62,g63
n12,g27,g98
n67,g36,g12
n0,g73,g78
n22,g32,g2
n58,g50,g77
n36,g55,g88
n42,g65,g66
n61,g93,g57
n3,g48,g79
n29,g90,g70
n47,g79,g55
n49,g75,g48
n52,g42,g45
n59,g6,g89
n57,g88,g64
n66,g61,g9
n37,g23,g30
n13,g1,g52
n40,g19,g48
n19,g48,g17
n46,g0,g28
n7,g57,g16
n15,g64,g69
n48,g35,g65
n41,g59,g82
n64,g64,g97
n56,g12,g2
n2,g88,g23
n1,g39,g49
