n0,g85,g49
n1,g36,g12
n2,g0,g19
n3,g51,g39
n4,g71,g93
n5,g90,g41
n6,g25,g2
n7,g30,g64
n8,g12,g76
n9,g27,g85
n10,g86,g58
n11,g53,g65
n12,g71,g24
n13,g92,g40
n14,g36,g23
n15,g20,g38
n16,g93,g30
n17,g69,g39
n18,g22,g20
n19,g83,g90
n20,g1,g77
n21,g52,g84
n22,g52,g41
n23,g9,g75
n24,g48,g57
n25,g77,g35
n26,g92,g56
n27,g84,g37
n28,g30,g47
n29,g23,g31
n30,g91,g89
n31,g58,g22
n32,g29,g63
n33,g26,g68
n34,g90,g71
n35,g40,g70
n36,g79,g59
n37,g8,g97
n38,g18,g67
n39,g56,g76
n40,g53,g33
n41,g56,g18
n42,g36,g41
n43,g22,g13
n44,g15,g16
n45,g91,g16
n46,g25,g6
n47,g12,g86
n48,g48,g35
n49,g92,g78
n50,g7,g23
n51,g32,g42
n52,g0,g41
n53,g29,g71
n54,g28,g63
n55,g54,g92
n56,g36,g25
n57,g69,g4
n58,g52,g56
n59,g35,g30
n60,g61,g14
n61,g72,g58
n62,g29,g8
n63,g98,g58
n64,g61,g73
n65,g84,g13
